Time,Loss,Connection,Lifetime
1000,0.28881,0.0519,10.16576
1500,0.29129,0.04494,10.18546
2000,0.29217,0.04938,10.19074
2500,0.29575,0.04006,10.17525
3000,0.29587,0.04943,10.26771
3500,0.29717,0.04678,10.23847
4000,0.2966,0.04787,10.2374
4500,0.29704,0.04782,10.22596
5000,0.29735,0.04362,10.2565
5500,0.29905,0.0414,10.24916
6000,0.29882,0.04284,10.2074
6500,0.29849,0.04567,10.23163
7000,0.29858,0.04588,10.23709
7500,0.2989,0.04382,10.24196
8000,0.29863,0.04249,10.23205
8500,0.29895,0.04082,10.2164
9000,0.29911,0.04155,10.21157
9500,0.29909,0.04464,10.24821
10000,0.2985,0.04333,10.23719
10500,0.29934,0.04355,10.21851
11000,0.29879,0.04375,10.22409
11500,0.29942,0.0435,10.22678
12000,0.29923,0.04255,10.22775
12500,0.29892,0.0408,10.21051
13000,0.29987,0.04427,10.23224
13500,0.29919,0.0418,10.22259
14000,0.29917,0.04535,10.2351
14500,0.29949,0.0426,10.24618
15000,0.29927,0.04119,10.21495
15500,0.30026,0.04182,10.22748
16000,0.29965,0.04206,10.21969
16500,0.29959,0.04039,10.20274
17000,0.29921,0.04188,10.2218
17500,0.29931,0.04349,10.23182
18000,0.29952,0.04442,10.24587
18500,0.2994,0.04331,10.22956
19000,0.29951,0.0425,10.21246
19500,0.29937,0.04242,10.22035
20000,0.29943,0.04403,10.23758
20500,0.29934,0.04101,10.21977
21000,0.29966,0.04145,10.23338
21500,0.29968,0.04371,10.23889
22000,0.29965,0.04307,10.23165
22500,0.29941,0.04195,10.21495
23000,0.29958,0.04175,10.22832
23500,0.29982,0.0402,10.21826
24000,0.29938,0.04294,10.22647
24500,0.29968,0.04004,10.22176
25000,0.2996,0.04241,10.23524
25500,0.29951,0.04342,10.23559
26000,0.29969,0.04381,10.23542
26500,0.29945,0.04487,10.2228
27000,0.29955,0.04394,10.23417
27500,0.29965,0.04388,10.24269
28000,0.29964,0.04116,10.22886
28500,0.29963,0.04388,10.24621
29000,0.29969,0.04198,10.23035
29500,0.29984,0.04605,10.26697
30000,0.29954,0.04353,10.23204
30500,0.29987,0.04325,10.22939
31000,0.29979,0.04286,10.23008
31500,0.29964,0.04288,10.23789
32000,0.29972,0.04118,10.2233
32500,0.2996,0.04132,10.24038
33000,0.29987,0.04387,10.24071
33500,0.2997,0.04208,10.2235
34000,0.29972,0.04222,10.24637
34500,0.29964,0.04212,10.2226
35000,0.29983,0.04432,10.24832
35500,0.29974,0.04309,10.23265
36000,0.29985,0.04414,10.25587
36500,0.29964,0.0412,10.22253
37000,0.29976,0.04339,10.23772
37500,0.29971,0.04216,10.23234
38000,0.29968,0.04192,10.237
38500,0.29964,0.04233,10.23395
39000,0.29961,0.04239,10.23492
39500,0.2997,0.04284,10.2214
40000,0.29977,0.04358,10.2378
40500,0.2997,0.04252,10.23783
41000,0.29979,0.04221,10.23226
41500,0.29982,0.0431,10.23682
42000,0.29982,0.04209,10.22517
42500,0.29975,0.04218,10.23117
43000,0.29978,0.04269,10.23533
43500,0.29975,0.04434,10.25334
44000,0.29985,0.04277,10.2379
44500,0.29969,0.04349,10.23415
45000,0.29973,0.04127,10.23968
45500,0.29973,0.04125,10.22582
46000,0.29971,0.04306,10.23252
46500,0.29976,0.04377,10.24038
47000,0.29973,0.04243,10.22733
47500,0.29975,0.04252,10.23146
48000,0.29978,0.04321,10.24291
48500,0.29982,0.04262,10.23248
49000,0.29971,0.04313,10.23953
49500,0.29982,0.04158,10.23206
50000,0.29975,0.04425,10.23949
50500,0.29975,0.04088,10.22719
51000,0.29986,0.04234,10.23818
51500,0.29981,0.04397,10.23399
52000,0.29981,0.04077,10.23076
52500,0.29991,0.04211,10.23888
53000,0.2998,0.04222,10.23362
53500,0.29982,0.04314,10.22973
54000,0.29981,0.04279,10.23469
54500,0.29976,0.0427,10.23269
55000,0.29979,0.04249,10.23586
55500,0.29978,0.04186,10.22086
56000,0.29993,0.04277,10.24056
56500,0.2998,0.04342,10.23727
57000,0.29976,0.04401,10.24373
57500,0.2999,0.04327,10.24886
58000,0.29981,0.04218,10.2317
58500,0.2998,0.04212,10.23441
59000,0.29979,0.04237,10.23684
59500,0.29989,0.04311,10.24397
60000,0.29986,0.0416,10.2264
60500,0.29981,0.04095,10.22535
61000,0.29976,0.04326,10.23851
61500,0.29986,0.04103,10.2286
62000,0.29994,0.04269,10.23262
62500,0.29986,0.04311,10.24251
63000,0.29979,0.04163,10.2296
63500,0.29985,0.04229,10.2368
64000,0.29983,0.04231,10.24468
64500,0.29986,0.04186,10.22959
65000,0.29981,0.04215,10.22701
65500,0.29983,0.04418,10.24396
66000,0.29981,0.04171,10.22461
66500,0.2999,0.04388,10.24897
67000,0.29986,0.04003,10.21855
67500,0.29984,0.04361,10.2406
68000,0.29982,0.04137,10.23145
68500,0.29982,0.04117,10.22957
69000,0.29987,0.04398,10.243
69500,0.29985,0.04116,10.24027
70000,0.29982,0.04214,10.23284
70500,0.29988,0.0438,10.24227
71000,0.29984,0.04317,10.2331
71500,0.2998,0.04384,10.25136
72000,0.29989,0.04276,10.23442
72500,0.29983,0.04229,10.24124
73000,0.29993,0.04308,10.24497
73500,0.29985,0.04205,10.24064
74000,0.2998,0.04266,10.23291
74500,0.29984,0.04301,10.24637
75000,0.29989,0.04266,10.23724
75500,0.29986,0.0433,10.2388
76000,0.29998,0.04242,10.23286
76500,0.29981,0.04276,10.23391
77000,0.29983,0.04347,10.23686
77500,0.29989,0.0428,10.2339
78000,0.2999,0.04307,10.24209
78500,0.29985,0.04247,10.2324
79000,0.2999,0.04333,10.24899
79500,0.29986,0.04234,10.2323
80000,0.29983,0.04445,10.24855
80500,0.29995,0.04289,10.23443
81000,0.29987,0.04206,10.22372
81500,0.29988,0.04222,10.2268
82000,0.29992,0.04285,10.23468
82500,0.2998,0.0418,10.23476
83000,0.29986,0.04204,10.23244
83500,0.29986,0.04187,10.23626
84000,0.29986,0.04389,10.2503
84500,0.29981,0.04264,10.24103
85000,0.29989,0.04309,10.24759
85500,0.2999,0.04377,10.24784
86000,0.29988,0.04194,10.23487
86500,0.29991,0.04087,10.22985
87000,0.29993,0.04252,10.23815
87500,0.29992,0.04372,10.24451
88000,0.29986,0.04345,10.2405
88500,0.2999,0.04325,10.2459
89000,0.29987,0.04258,10.22979
89500,0.29992,0.04274,10.24377
90000,0.29987,0.04236,10.23802
90500,0.29988,0.04118,10.22913
91000,0.2999,0.04222,10.23451
91500,0.29987,0.04272,10.23372
92000,0.29996,0.04232,10.23692
92500,0.29986,0.04248,10.23994
93000,0.29989,0.04173,10.2391
93500,0.29992,0.04222,10.23405
94000,0.2999,0.04304,10.23566
94500,0.29988,0.04203,10.24066
95000,0.29989,0.04289,10.23737
95500,0.29988,0.04257,10.24126
96000,0.29985,0.04202,10.23097
96500,0.2999,0.04246,10.23919
97000,0.29985,0.04282,10.24204
97500,0.29987,0.04267,10.24129
98000,0.29987,0.04306,10.23579
98500,0.29989,0.04258,10.23553
99000,0.29998,0.0425,10.23822
99500,0.29993,0.04218,10.23763
100000,0.29996,0.04257,10.2432
